NodeId,CPUTime,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,GravityX,GravityY,GravityZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,OrientationYaw,OrientationPitch,OrientationRoll,GPSAltitude
"	0",1.45327E+12,-0.768539,0.0837971,9.38348,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.171185,1.50595,8.88847,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.233435,1.54366,9.17219,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.204704,1.53768,9.33619,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.153229,1.52152,9.47864,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.154426,1.485,9.50019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.196325,1.46585,9.49241,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.170587,1.46705,9.39126,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.151433,1.4461,9.31883,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.194529,1.4054,9.33739,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.181959,1.44789,9.46248,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.192135,1.47004,9.60015,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.134075,1.47603,9.62349,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.134075,1.47603,9.62349,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.135272,1.37786,9.12311,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.146046,1.44729,9.36612,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.143652,1.45867,9.35355,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.152032,1.47842,9.36013,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.131083,1.46765,9.42717,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.144251,1.45388,9.49181,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.127491,1.48919,9.47445,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.134674,1.50535,9.39425,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.183156,1.51074,9.35714,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0861913,1.48081,9.34337,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.102951,1.47004,9.39245,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0736217,1.51433,9.50977,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0592565,1.51613,9.56543,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0939724,1.46645,9.54149,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.101754,1.4856,9.42717,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.110133,1.51433,9.31584,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0951695,1.53349,9.27095,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0867898,1.56222,9.2901,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0837971,1.54366,9.33559,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.120907,1.53229,9.44812,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.110133,1.51074,9.49899,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0526724,1.55204,9.47445,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0215478,1.54905,9.43016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.00538695,1.56641,9.42837,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0580594,1.55264,9.4559,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.11971,1.52271,9.48702,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0939724,1.53289,9.54508,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0867898,1.56282,9.56484,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0430956,1.55144,9.54867,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0389058,1.56102,9.5397,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0448913,1.55503,9.46787,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0215478,1.6107,9.43435,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0203507,1.62746,9.35534,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.00718261,1.60651,9.36193,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,0.0185551,1.59214,9.37869,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,0.0389058,1.58496,9.41759,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0209493,1.59933,9.42956,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0377087,1.59035,9.46189,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0538695,1.60352,9.50319,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0323217,1.57,9.50618,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"	0",1.45327E+12,-0.0448913,1.54366,9.48343,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
